main_mode,,,,,,,,,,,,
bike,,,,,,,,,,,,
public_transport,,,,,,,,,cluster1,cluster0,cluster2,
spostamento multimodale,,,,,,bike,,,5.825242718,0.632911392,0.578034682,
motorcycle,,,,,,public_transport,,,25.3814147,16.93037975,23.69942197,
car,,,,,,spostamento multimodale,,,1.248266297,12.5,5.780346821,
walking,,,,,,motorcycle,,,9.431345354,6.962025316,5.780346821,
carpooling_passenger,,,,,,car,,,52.42718447,60.91772152,62.42774566,
carpooling_driver,,,,,,walking,,,4.715672677,0.158227848,1.156069364,
0,,,,,,carpooling_passenger,,,0.416088766,0.316455696,0,
,,,,,,carpooling_driver,,,0.554785021,1.582278481,0.578034682,
,,,,,,,,,100,100,100,300
,,,,,,,,,721,632,173,
,,,,,,,,,,,,
,,,,,,,,,36.89320388,19.62025316,26.01156069,
