employee,cluster,main_mode2023,main_mode2024,
21948553,1,bike,bike,Same
23811543,2,public_transport,public_transport,Same
24472838,0,spostamento multimodale,public_transport,Changed
25478049,0,motorcycle,motorcycle,Same
25644407,1,car,public_transport,Changed
26353682,1,public_transport,public_transport,Same
26472120,1,public_transport,public_transport,Same
27255638,0,car,car,Same
27453517,1,bike,bike,Same
27461446,0,car,car,Same
29152854,0,public_transport,car,Changed
29392983,0,public_transport,public_transport,Same
30161153,1,car,car,Same
34351478,1,public_transport,spostamento multimodale,Changed
35605697,0,car,car,Same
36297368,1,bike,bike,Same
37087150,0,car,car,Same
37539775,1,public_transport,car,Changed
38473690,0,spostamento multimodale,public_transport,Changed
40000600,1,car,car,Same
40617652,0,car,car,Same
41547176,0,motorcycle,car,Changed
43219332,1,public_transport,public_transport,Same
43742074,1,motorcycle,motorcycle,Same
44967113,2,car,car,Same
46152693,0,car,car,Same
46746807,0,car,car,Same
48223826,1,car,car,Same
50419972,0,public_transport,public_transport,Same
51606187,2,car,car,Same
51946450,0,public_transport,public_transport,Same
52829041,0,car,car,Same
54126450,2,public_transport,public_transport,Same
54249998,0,car,car,Same
56222831,0,car,car,Same
58139072,1,car,car,Same
60983651,1,car,car,Same
62288042,2,car,car,Same
62383717,2,car,car,Same
62479698,1,car,car,Same
63398107,0,motorcycle,car,Changed
63526462,1,car,walking,Changed
63725275,0,car,car,Same
65241693,0,walking,walking,Same
66913212,2,car,public_transport,Changed
66993544,0,car,car,Same
72145411,1,car,car,Same
72172061,1,car,car,Same
73128948,1,public_transport,public_transport,Same
73723860,0,car,car,Same
74270356,1,motorcycle,car,Changed
74509769,0,car,car,Same
75942379,2,car,car,Same
77273162,0,car,car,Same
77626161,0,car,car,Same
78518464,0,car,car,Same
80094484,1,car,car,Same
82801647,2,public_transport,public_transport,Same
84723335,0,car,car,Same
85275771,1,car,car,Same
85810338,0,spostamento multimodale,spostamento multimodale,Same
86094029,1,car,car,Same
90077285,0,car,car,Same
90606849,0,car,car,Same
90724331,1,bike,motorcycle,Changed
90984372,1,car,car,Same
92512057,1,bike,bike,Same
93402576,1,carpooling_passenger,car,Changed
97324760,0,car,car,Same
98635338,0,car,car,Same
98695783,0,car,car,Same
100668308,1,car,car,Same
102308725,1,car,car,Same
104074838,0,public_transport,public_transport,Same
104623081,0,car,car,Same
105388489,1,car,car,Same
106347114,1,car,car,Same
106525375,1,car,car,Same
107955390,2,car,car,Same
108113400,0,car,car,Same
108538394,1,walking,walking,Same
110273877,1,public_transport,public_transport,Same
111877704,1,car,car,Same
112153362,1,public_transport,public_transport,Same
112607109,0,public_transport,public_transport,Same
113469894,0,car,car,Same
113802680,0,spostamento multimodale,spostamento multimodale,Same
118421812,0,spostamento multimodale,spostamento multimodale,Same
118652540,1,car,car,Same
119055346,1,car,car,Same
