employee,satisfaction_current_mode_2023,satisfaction_current_mode_2024,main_mode2023,main_mode2024,cluster
21948553,3,3,bike,bike,1
23811543,1,1,public_transport,public_transport,2
24472838,3,3,spostamento multimodale,public_transport,0
25478049,4,4,motorcycle,motorcycle,0
25644407,2,3,car,public_transport,1
26353682,3,3,public_transport,public_transport,1
26472120,2,1,public_transport,public_transport,1
27255638,2,3,car,car,0
27453517,4,4,bike,bike,1
27461446,4,3,car,car,0
29152854,1,2,public_transport,car,0
29392983,2,3,public_transport,public_transport,0
30161153,3,3,car,car,1
34351478,3,3,public_transport,spostamento multimodale,1
35605697,3,4,car,car,0
36297368,3,4,bike,bike,1
37087150,2,1,car,car,0
37539775,1,2,public_transport,car,1
38473690,2,3,spostamento multimodale,public_transport,0
40000600,3,3,car,car,1
40617652,4,4,car,car,0
41547176,4,4,motorcycle,car,0
43219332,2,2,public_transport,public_transport,1
43742074,4,4,motorcycle,motorcycle,1
44967113,3,2,car,car,2
46152693,3,4,car,car,0
46746807,2,3,car,car,0
48223826,4,4,car,car,1
50419972,3,2,public_transport,public_transport,0
51606187,4,4,car,car,2
51946450,3,3,public_transport,public_transport,0
52829041,3,2,car,car,0
54126450,2,3,public_transport,public_transport,2
54249998,4,4,car,car,0
56222831,3,4,car,car,0
58139072,2,3,car,car,1
60983651,4,4,car,car,1
62288042,1,3,car,car,2
62383717,4,4,car,car,2
62479698,4,4,car,car,1
63398107,4,3,motorcycle,car,0
63526462,2,4,car,walking,1
63725275,4,4,car,car,0
65241693,4,3,walking,walking,0
66913212,4,2,car,public_transport,2
66993544,2,2,car,car,0
72145411,4,4,car,car,1
72172061,4,4,car,car,1
73128948,3,2,public_transport,public_transport,1
73723860,2,4,car,car,0
74270356,4,3,motorcycle,car,1
74509769,1,1,car,car,0
75942379,3,3,car,car,2
77273162,2,2,car,car,0
77626161,4,4,car,car,0
78518464,4,4,car,car,0
80094484,3,4,car,car,1
82801647,2,1,public_transport,public_transport,2
84723335,3,3,car,car,0
85275771,4,4,car,car,1
85810338,1,1,spostamento multimodale,spostamento multimodale,0
86094029,4,4,car,car,1
90077285,3,4,car,car,0
90606849,4,4,car,car,0
90724331,4,3,bike,motorcycle,1
90984372,4,4,car,car,1
92512057,3,3,bike,bike,1
93402576,4,4,carpooling_passenger,car,1
97324760,4,4,car,car,0
98635338,4,3,car,car,0
98695783,4,4,car,car,0
100668308,2,2,car,car,1
102308725,4,4,car,car,1
104074838,4,3,public_transport,public_transport,0
104623081,4,4,car,car,0
105388489,3,1,car,car,1
106347114,4,3,car,car,1
106525375,4,4,car,car,1
107955390,3,2,car,car,2
108113400,2,3,car,car,0
108538394,4,4,walking,walking,1
110273877,2,3,public_transport,public_transport,1
111877704,3,4,car,car,1
112153362,1,2,public_transport,public_transport,1
112607109,3,3,public_transport,public_transport,0
113469894,1,1,car,car,0
113802680,2,1,spostamento multimodale,spostamento multimodale,0
118421812,1,1,spostamento multimodale,spostamento multimodale,0
118652540,3,3,car,car,1
119055346,4,4,car,car,1
120392797,2,3,car,car,2
121976878,1,2,car,car,0
122486154,4,1,car,car,0
124703067,2,2,public_transport,public_transport,0
127238374,3,3,car,car,1
127287880,2,3,public_transport,car,0
128342595,1,2,public_transport,public_transport,0
129304779,4,4,car,car,1
132731970,3,4,car,car,0
133744357,2,3,car,car,1
137599638,2,2,car,carpooling_passenger,0
138380070,3,3,car,car,0
139216370,4,4,car,car,1
143031265,4,4,car,car,0
149080344,4,4,motorcycle,motorcycle,0
150155683,3,2,car,car,0
152153456,3,3,public_transport,public_transport,1
152194535,2,2,car,car,0
152797216,4,3,motorcycle,motorcycle,1
153000508,3,3,motorcycle,motorcycle,0
