"textid","description"
defval_2547714089,no
defval_2825324891,"sì, se i marciapiedi e i percorsi pedonali fossero più curati"
defval_3075213701,"sì, se le strade fossero maggiormente illuminate"
defval_2595096750,no
defval_2944010437,"sì, se l'azienda mi fornisse un incentivo per l'acquisto"
defval_3135441469,"sì, se ci fossero strade protette sicure"
defval_3133868615,"sì, se fossero disponibili spogliatoi e docce"
defval_2926119221,"sì, se durante le ore di lavoro potessi usufruire di mezzi aziendali per eventuali spostamenti"
defval_2869168440,"no, mai"
defval_3107785251,"sì, se fossero costantemente igienizzati e forniti di disinfettante"
defval_2997029336,"sì, se potessi usufruire di scontistiche"
defval_2767128934,"sì, se potessi rateizzare il costo in busta paga"
defval_2968127971,"sì, se potessi prenotare il mezzo in anticipo"
defval_2796357925,bike sharing
defval_3217754678,monopattino sharing
defval_3043953019,scooter sharing
defval_3152611842,car sharing
defval_2801404339,non sono disposto ad utilizzare servizi di sharing mobility 
defval_3064138244,auto elettriche
defval_2921335257,auto tradizionali
defval_2913208691,piedi
defval_2890926513,bici
defval_3008891354,trasporto pubblico
defval_2737113261,non sono disposto ad utilizzare un'app di gamification
defval_3159034379,non posseggo un?automobile
defval_2780367245,"no, mi sento sicuro solo con il mezzo privato"
defval_3082095040,"sì, utilizzerei il trasporto pubblico al posto del mezzo privato se fossero facilmente disponibili i dispositivi di protezione, se fossero prenotabili le corse e correttamente sanificati"
defval_2811300170,"sì, utilizzerei la biciletta o il monopattino al posto del mezzo privato"
defval_2901870826,"sì, utilizzerei un servizio di sharing mobility al posto del mezzo privato"
defval_3066235293,Impiegato/operaio
defval_2931820931,bicicletta/monopattino
defval_VTRSICIFK01,"1-10KM"
defval_VTRSICIFK03,"11-20KM"
defval_VTRSICIFK06,"21-30KM"
defval_VTRSICIFK09,"31-40KM"
defval_VTRSICIFK12,"41-50KM"
defval_VTRSICIFK14,"51-60KM"
defval_VTRSICIFK15,"61-70KM"
defval_VTRSICIFK16,"71-80KM"
defval_VTRSICIFK17,"81-90KM"
defval_VTRSICIFK18,"91-100KM"
defval_VTRSICIFK19,"101-110KM"
defval_VTRSICIFK20,"111-120KM"
defval_VTRSICIFK21,"121-130KM"
defval_VTRSICIFK22,"131-140KM"
defval_VTRSICIFK23,"141-150KM"
defval_VTRSICIFK24,"151-160KM"
defval_VTRSICIFK25,"161-170KM"
defval_VTRSICIFK26,"171-180KM"
defval_VTRSICIFK27,"181-190KM"
defval_VTRSICIFK28,"191-200KM"
defval_VTRSICIFK30,"201-220KM"
defval_VTRSICIFK33,"221-240KM"
defval_VTRSICIFK36,"241-260KM"
defval_VTRSICIFK39,"261-280KM"
defval_VTRSICIFK42,"281-300KM"
defval_VTRSICIFK02,"11-15KM"
defval_VTRSICIFK04,"16-20KM"
defval_VTRSICIFK05,"21-25KM"
defval_VTRSICIFK07,"26-30KM"
defval_VTRSICIFK08,"31-35KM"
defval_VTRSICIFK10,"36-40KM"
defval_VTRSICIFK11,"41-45KM"
defval_VTRSICIFK13,"46-50KM"
defval_VTRSICIFK29,"201-210KM"
defval_VTRSICIFK31,"211-220KM"
defval_VTRSICIFK32,"221-230KM"
defval_VTRSICIFK34,"231-240KM"
defval_VTRSICIFK35,"241-250KM"
defval_VTRSICIFK37,"251-260KM"
defval_VTRSICIFK38,"261-270KM"
defval_VTRSICIFK40,"271-280KM"
defval_VTRSICIFK41,"281-290KM"
defval_VTRSICIFK43,"291-300KM"
defval_VTRSICIFK44,"301-310KM"
defval_VTRSICIFK45,"311-320KM"
defval_VTRSICIFK46,"321-330KM"
defval_VTRFVGFK01,"1-4 KM"
defval_VTRFVGFK02,"5-9 KM"
defval_VTRFVGFK03,"10-14 KM"
defval_VTRFVGFK04,"15-20 KM"
defval_VTRFVGFK05,"21-30 KM"
defval_VTRFVGFK06,"31-40 KM"
defval_VTRFVGFK07,"41-50 KM"
defval_VTRFVGFK08,"51-60 KM"
defval_VTRFVGFK09,"61-70 KM"
defval_VTRFVGFK10,"71-80 KM"
defval_VTRFVGFK11,"81-90 KM"
defval_VTRFVGFK12,"91-100 KM"
defval_VTRFVGFK13,"101-125 KM"
defval_VTRFVGFK14,"126-150 KM"
defval_VTRFVGFK15,"151-175 KM"
defval_VTRFVGFK16,"176-200 KM"
defval_VTRFVGFK17,"201-225 KM"
defval_VTRFVGFK18,"226-250 KM"
defval_VTRFVGFK19,"251-275 KM"
defval_VTRFVGFK20,"276-300 KM"
defval_VTRMARFK01,"1-10 KM"
defval_VTRMARFK02,"11-20 KM"
defval_VTRMARFK03,"21-30 KM"
defval_VTRMARFK04,"31-40 KM"
defval_VTRMARFK05,"41-50 KM"
defval_VTRMARFK06,"51-60 KM"
defval_VTRMARFK07,"61-70 KM"
defval_VTRMARFK08,"71-80 KM"
defval_VTRMARFK09,"81-90 KM"
defval_VTRMARFK10,"91-100 KM"
defval_VTRMARFK11,"101-110 KM"
defval_VTRMARFK12,"111-120 KM"
defval_VTRMARFK13,"121-130 KM"
defval_VTRMARFK14,"131-140 KM"
defval_VTRMARFK15,"141-150 KM"
defval_VTRMARFK16,"151-160 KM"
defval_VTRMARFK17,"161-170 KM"
defval_VTRMARFK18,"171-180 KM"
defval_VTRMARFK19,"181-190 KM"
defval_VTRMARFK20,"191-200 KM"
defval_VTRMARFK21,"201-220 KM"
defval_VTRMARFK22,"221-240 KM"
defval_VTRMARFK23,"241-260 KM"
defval_VTRMARFK24,"261-280 KM"
defval_VTRMARFK25,"281-300 KM"
defval_2858682710,tra 251 euro e 350 euro
defval_3101231479,Manager
defval_2871200072,fra 51 e 60 anni
defval_3040151839,più di 60 anni
defval_2728855757,Dichiaro di aver letto l?informativa sulla privacy e acconsento al trattamento dei miei dati personali
defval_3063548394,uomo
defval_2877491481,donna
defval_2875984208,meno di 20 anni
defval_2781743481,fra 21 e 30 anni
defval_2861107486,fra 31 e 40 anni
defval_2819099124,"1"
defval_3268479543,"2"
defval_2862942526,"3"
defval_2957445420,"4"
defval_2941454692,più di 4
defval_2974484736,Quadro/dirigente
defval_3017935208,Impiegato/operaio
defval_2628389022,assunto a tempo indeterminato
defval_2851342557,assunto a tempo determinato
defval_2795964811,collaboratore a progetto
defval_2960132484,consulente
defval_2780039434,professionista/partita iva
defval_2720205075,lavoratore interinale
defval_3001747975,apprendista/in formazione
defval_3488549609,stagista
defval_2813659363,full time 5 giorni a settimana
defval_3059157419,full time 6 giorni a settimana
defval_2808482075,part time verticale
defval_3063548488,orario libero
defval_2984053211,part time orizzontale
defval_2699561203,turni
defval_3176925693,telelavoro
defval_2764638477,rigido
defval_2759199013,mezz?ora
defval_2755004655,autonomia di movimento
defval_2789083381,mancanza di alternative valide
defval_2722892070,servizio pubblico non efficiente
defval_3095202317,rispetto dell?ambiente
defval_2877688183,attività extralavorative
defval_2901084455,mancanza di percorsi ciclabili
defval_2864777459,no
defval_3018721627,"sì, per commissioni o acquisti"
defval_2865105184,"sì, per accompagnare i figli a scuola o altri familiari"
defval_3150056004,"sì, per attività ricreative"
defval_2992310757,auto privata
defval_2971339127,auto privata come conducente insieme a dei colleghi
defval_3183675911,auto privata come passeggero insieme a dei colleghi
defval_2889615810,"motocicletta, ciclomotore, scooter"
defval_3114404266,bicicletta
defval_3165129269,a piedi
defval_3005680054,bus aziendale
defval_2915895609,uno o più mezzi pubblici
defval_2874083623,combinazione di mezzi pubblici e privati
defval_2991720773,treno
defval_3213625765,un?ora
defval_2626422928,due ore o più
defval_3003910523,resto nei pressi della sede di lavoro
defval_2660370619,torno a casa
defval_2826766581,svolgo attività richiedenti l?utilizzo di un mezzo privato
defval_3069839881,resto in ufficio
defval_2942699905,vado alla mensa aziendale
defval_2895055299,sì
defval_3023702540,"no, vado a piedi"
defval_3000699427,"no, vado in bicicletta"
defval_2937522449,"no, vado in moto/motociclo"
defval_2927561073,tram
defval_2942110207,metropolitana
defval_2799241644,"autobus urbano, filobus"
defval_2979334580,"corriera, autobus extra-urbano"
defval_2646542394,economicità
defval_2783709409,difficoltà del parcheggio
defval_2654603508,sicurezza
defval_3189311961,alternativa meno stressante
defval_2635204756,salute
defval_2978417117,tempo di viaggio
defval_2896496973,comfort
defval_2971863550,accompagnamento di persone
defval_3033729548,"sì, per altri motivi"
