employee,2023_office_location_type,2024_office_location_type,2023_home_location_type,2024_home_location_type,2023_mode,2024_mode,,,office urban changed?,home urban changed?,Mode Changed?,,,,employee,2023_office_location_type,2023_home_location_type,2023_mode,2024_mode,mode_shift
24472838,urban,urban,urban,urban,spostamento multimodale,public_transport,,,no,no,yes,,,,24472838,urban,urban,spostamento multimodale,public_transport,spostamento multimodale ? public_transport
25644407,urban,urban,urban,urban,car,public_transport,,,no,no,yes,,,,25644407,urban,urban,car,public_transport,car ? public_transport
29152854,urban,urban,peri_urban,peri_urban,public_transport,car,,,no,no,yes,,,,29152854,urban,peri_urban,public_transport,car,public_transport ? car
34351478,urban,urban,urban,urban,public_transport,spostamento multimodale,,,no,no,yes,,,,34351478,urban,urban,public_transport,spostamento multimodale,public_transport ? spostamento multimodale
37539775,urban,urban,urban,urban,public_transport,car,,,no,no,yes,,,,37539775,urban,urban,public_transport,car,public_transport ? car
38473690,urban,urban,peri_urban,peri_urban,spostamento multimodale,public_transport,,,no,no,yes,,,,38473690,urban,peri_urban,spostamento multimodale,public_transport,spostamento multimodale ? public_transport
41547176,urban,urban,urban,urban,motorcycle,car,,,no,no,yes,,,,41547176,urban,urban,motorcycle,car,motorcycle ? car
63398107,urban,urban,urban,urban,motorcycle,car,,,no,no,yes,,,,63398107,urban,urban,motorcycle,car,motorcycle ? car
63526462,urban,urban,urban,urban,car,walking,,,no,no,yes,,,,63526462,urban,urban,car,walking,car ? walking
66913212,urban,urban,peri_urban,peri_urban,car,public_transport,,,no,no,yes,,,,66913212,urban,peri_urban,car,public_transport,car ? public_transport
74270356,urban,urban,urban,urban,motorcycle,car,,,no,no,yes,,,,74270356,urban,urban,motorcycle,car,motorcycle ? car
90724331,urban,urban,urban,urban,bike,motorcycle,,,no,no,yes,,,,90724331,urban,urban,bike,motorcycle,bike ? motorcycle
93402576,urban,urban,urban,urban,carpooling_passenger,car,,,no,no,yes,,,,93402576,urban,urban,carpooling_passenger,car,carpooling_passenger ? car
127287880,urban,urban,peri_urban,peri_urban,public_transport,car,,,no,no,yes,,,,127287880,urban,peri_urban,public_transport,car,public_transport ? car
137599638,urban,urban,non_urban,non_urban,car,carpooling_passenger,,,no,no,yes,,,,137599638,urban,non_urban,car,carpooling_passenger,car ? carpooling_passenger
153072006,urban,urban,urban,urban,car,public_transport,,,no,no,yes,,,,153072006,urban,urban,car,public_transport,car ? public_transport
185399991,urban,urban,urban,urban,public_transport,car,,,no,no,yes,,,,185399991,urban,urban,public_transport,car,public_transport ? car
192130673,urban,urban,peri_urban,peri_urban,spostamento multimodale,public_transport,,,no,no,yes,,,,192130673,urban,peri_urban,spostamento multimodale,public_transport,spostamento multimodale ? public_transport
230312432,urban,urban,urban,urban,car,public_transport,,,no,no,yes,,,,230312432,urban,urban,car,public_transport,car ? public_transport
234672526,urban,urban,urban,urban,public_transport,motorcycle,,,no,no,yes,,,,234672526,urban,urban,public_transport,motorcycle,public_transport ? motorcycle
253305904,urban,urban,urban,urban,public_transport,car,,,no,no,yes,,,,253305904,urban,urban,public_transport,car,public_transport ? car
253594889,urban,urban,urban,urban,car,motorcycle,,,no,no,yes,,,,253594889,urban,urban,car,motorcycle,car ? motorcycle
259823218,urban,urban,peri_urban,peri_urban,car,spostamento multimodale,,,no,no,yes,,,,259823218,urban,peri_urban,car,spostamento multimodale,car ? spostamento multimodale
264982285,urban,urban,urban,urban,car,walking,,,no,no,yes,,,,264982285,urban,urban,car,walking,car ? walking
271008607,urban,urban,urban,urban,public_transport,motorcycle,,,no,no,yes,,,,271008607,urban,urban,public_transport,motorcycle,public_transport ? motorcycle
271565997,urban,urban,urban,urban,motorcycle,car,,,no,no,yes,,,,271565997,urban,urban,motorcycle,car,motorcycle ? car
273619628,urban,urban,urban,urban,spostamento multimodale,car,,,no,no,yes,,,,273619628,urban,urban,spostamento multimodale,car,spostamento multimodale ? car
275053170,urban,urban,urban,urban,carpooling_driver,car,,,no,no,yes,,,,275053170,urban,urban,carpooling_driver,car,carpooling_driver ? car
291438033,urban,urban,urban,urban,spostamento multimodale,public_transport,,,no,no,yes,,,,291438033,urban,urban,spostamento multimodale,public_transport,spostamento multimodale ? public_transport
294372228,urban,urban,urban,urban,spostamento multimodale,car,,,no,no,yes,,,,294372228,urban,urban,spostamento multimodale,car,spostamento multimodale ? car
316414359,urban,urban,peri_urban,peri_urban,car,carpooling_driver,,,no,no,yes,,,,316414359,urban,peri_urban,car,carpooling_driver,car ? carpooling_driver
318001980,urban,urban,urban,urban,carpooling_passenger,car,,,no,no,yes,,,,318001980,urban,urban,carpooling_passenger,car,carpooling_passenger ? car
328266960,urban,urban,urban,urban,motorcycle,car,,,no,no,yes,,,,328266960,urban,urban,motorcycle,car,motorcycle ? car
330932712,urban,urban,peri_urban,peri_urban,bike,car,,,no,no,yes,,,,330932712,urban,peri_urban,bike,car,bike ? car
343759708,urban,urban,urban,urban,car,public_transport,,,no,no,yes,,,,343759708,urban,urban,car,public_transport,car ? public_transport
346932074,urban,urban,peri_urban,peri_urban,walking,car,,,no,no,yes,,,,346932074,urban,peri_urban,walking,car,walking ? car
371531829,urban,urban,peri_urban,peri_urban,public_transport,car,,,no,no,yes,,,,371531829,urban,peri_urban,public_transport,car,public_transport ? car
377016659,urban,urban,urban,urban,spostamento multimodale,public_transport,,,no,no,yes,,,,377016659,urban,urban,spostamento multimodale,public_transport,spostamento multimodale ? public_transport
377959478,urban,urban,peri_urban,peri_urban,public_transport,car,,,no,no,yes,,,,377959478,urban,peri_urban,public_transport,car,public_transport ? car
379630690,urban,urban,peri_urban,peri_urban,spostamento multimodale,public_transport,,,no,no,yes,,,,379630690,urban,peri_urban,spostamento multimodale,public_transport,spostamento multimodale ? public_transport
380045901,urban,urban,urban,urban,motorcycle,car,,,no,no,yes,,,,380045901,urban,urban,motorcycle,car,motorcycle ? car
382330052,urban,urban,peri_urban,peri_urban,spostamento multimodale,public_transport,,,no,no,yes,,,,382330052,urban,peri_urban,spostamento multimodale,public_transport,spostamento multimodale ? public_transport
390844414,urban,urban,peri_urban,peri_urban,public_transport,car,,,no,no,yes,,,,390844414,urban,peri_urban,public_transport,car,public_transport ? car
391937870,urban,urban,urban,urban,car,public_transport,,,no,no,yes,,,,391937870,urban,urban,car,public_transport,car ? public_transport
393981944,urban,urban,peri_urban,peri_urban,public_transport,car,,,no,no,yes,,,,393981944,urban,peri_urban,public_transport,car,public_transport ? car
399898659,urban,urban,urban,urban,car,carpooling_driver,,,no,no,yes,,,,399898659,urban,urban,car,carpooling_driver,car ? carpooling_driver
411448460,urban,urban,urban,urban,public_transport,car,,,no,no,yes,,,,411448460,urban,urban,public_transport,car,public_transport ? car
416402517,urban,urban,peri_urban,peri_urban,car,carpooling_driver,,,no,no,yes,,,,416402517,urban,peri_urban,car,carpooling_driver,car ? carpooling_driver
427283136,urban,urban,urban,urban,car,carpooling_driver,,,no,no,yes,,,,427283136,urban,urban,car,carpooling_driver,car ? carpooling_driver
434112993,urban,urban,peri_urban,peri_urban,spostamento multimodale,car,,,no,no,yes,,,,434112993,urban,peri_urban,spostamento multimodale,car,spostamento multimodale ? car
453228900,urban,urban,urban,urban,spostamento multimodale,public_transport,,,no,no,yes,,,,453228900,urban,urban,spostamento multimodale,public_transport,spostamento multimodale ? public_transport
458104966,peri_urban,peri_urban,urban,urban,carpooling_passenger,car,,,no,no,yes,,,,458104966,peri_urban,urban,carpooling_passenger,car,carpooling_passenger ? car
489825815,urban,urban,urban,urban,public_transport,car,,,no,no,yes,,,,489825815,urban,urban,public_transport,car,public_transport ? car
491483322,urban,urban,urban,urban,public_transport,spostamento multimodale,,,no,no,yes,,,,491483322,urban,urban,public_transport,spostamento multimodale,public_transport ? spostamento multimodale
498584450,urban,urban,urban,urban,spostamento multimodale,public_transport,,,no,no,yes,,,,498584450,urban,urban,spostamento multimodale,public_transport,spostamento multimodale ? public_transport
526406566,urban,urban,urban,urban,spostamento multimodale,bike,,,no,no,yes,,,,526406566,urban,urban,spostamento multimodale,bike,spostamento multimodale ? bike
531929476,urban,urban,urban,urban,bike,car,,,no,no,yes,,,,531929476,urban,urban,bike,car,bike ? car
542731611,urban,urban,peri_urban,peri_urban,carpooling_driver,car,,,no,no,yes,,,,542731611,urban,peri_urban,carpooling_driver,car,carpooling_driver ? car
544810960,urban,urban,urban,urban,bike,walking,,,no,no,yes,,,,544810960,urban,urban,bike,walking,bike ? walking
550681080,urban,urban,urban,urban,bike,public_transport,,,no,no,yes,,,,550681080,urban,urban,bike,public_transport,bike ? public_transport
557558542,urban,urban,peri_urban,peri_urban,spostamento multimodale,public_transport,,,no,no,yes,,,,557558542,urban,peri_urban,spostamento multimodale,public_transport,spostamento multimodale ? public_transport
565609899,peri_urban,peri_urban,urban,urban,car,motorcycle,,,no,no,yes,,,,565609899,peri_urban,urban,car,motorcycle,car ? motorcycle
567113447,urban,urban,urban,urban,walking,car,,,no,no,yes,,,,567113447,urban,urban,walking,car,walking ? car
576608327,urban,urban,peri_urban,peri_urban,public_transport,spostamento multimodale,,,no,no,yes,,,,576608327,urban,peri_urban,public_transport,spostamento multimodale,public_transport ? spostamento multimodale
